date,deaths,daily_deaths
2021-01-12,385969,4375
2021-01-13,389937,3968
2021-01-14,393717,3780
2021-01-15,397530,3813
2021-01-16,401080,3550
2021-01-17,403064,1984
2021-01-18,404650,1586
2021-01-19,407052,2402
2021-01-20,411426,4374
2021-01-21,415520,4094
2021-01-22,419286,3766
2021-01-23,422809,3523
2021-01-24,424638,1829
2021-01-25,426420,1782
2021-01-26,430402,3982
2021-01-27,434458,4056
2021-01-28,438259,3801
2021-01-29,441812,3553
2021-01-30,444670,2858
2021-01-31,446602,1932
2021-02-01,448381,1779
2021-02-02,451922,3541
2021-02-03,455778,3856
2021-02-04,459659,3881
2021-02-05,463316,3657
2021-02-06,466041,2725
2021-02-07,467504,1463
2021-02-08,468953,1449
2021-02-09,471978,3025
2021-02-10,475337,3359
2021-02-11,478492,3155
2021-02-12,481325,2833
2021-02-13,483578,2253
2021-02-14,484729,1151
2021-02-15,485675,946
2021-02-16,487323,1648
2021-02-17,489731,2408
2021-02-18,492289,2558
2021-02-19,494810,2521
2021-02-20,496711,1901
2021-02-21,497922,1211
2021-02-22,499127,1205
2021-02-23,501384,2257
2021-02-24,504596,3212
2021-02-25,507105,2509
2021-02-26,509227,2122
2021-02-27,510739,1512
2021-02-28,511827,1088
2021-03-01,513045,1218
2021-03-02,514966,1921
2021-03-03,517486,2520
2021-03-04,519407,1921
2021-03-05,521126,1719
2021-03-06,522634,1508
2021-03-07,523337,703
2021-03-08,524059,722
2021-03-09,525818,1759
2021-03-10,527355,1537
2021-03-11,528896,1541
2021-03-12,530323,1427
2021-03-13,531333,1010
2021-03-14,531866,533
2021-03-15,532570,704
2021-03-16,533813,1243
2021-03-17,535007,1194
2021-03-18,536639,1632
2021-03-19,537659,1020
2021-03-20,538385,726
2021-03-21,539089,704
2021-03-22,539642,553
2021-03-23,540557,915
2021-03-24,542011,1454
2021-03-25,543355,1344
2021-03-26,544507,1152
2021-03-27,545311,804
2021-03-28,545753,442
2021-03-29,546387,634
2021-03-30,547275,888
2021-03-31,548349,1074
2021-04-01,549448,1099
2021-04-02,550345,897
2021-04-03,551100,755
2021-04-04,551412,312
2021-04-05,551878,466
2021-04-06,552706,828
2021-04-07,555304,2598
2021-04-08,556312,1008
2021-04-09,557214,902
2021-04-10,557972,758
2021-04-11,558265,293
2021-04-12,558720,455
2021-04-13,559582,862
2021-04-14,560515,933
2021-04-15,561420,905
2021-04-16,562291,871
2021-04-17,563002,711
2021-04-18,563355,353
2021-04-19,563851,496
2021-04-20,564688,837
2021-04-21,565584,896
2021-04-22,566523,939
2021-04-23,567287,764
2021-04-24,568037,750
2021-04-25,568346,309
2021-04-26,568824,478
2021-04-27,569490,666
2021-04-28,570473,983
2021-04-29,571356,883
2021-04-30,572156,800
2021-05-01,572904,748
2021-05-02,573232,328
2021-05-03,573718,486
2021-05-04,574560,842
2021-05-05,575373,813
2021-05-06,576169,796
2021-05-07,576925,756
2021-05-08,577564,639
2021-05-09,577827,263
2021-05-10,578229,402
2021-05-11,578909,680
2021-05-12,579676,767
2021-05-13,580418,742
2021-05-14,581049,631
2021-05-15,581574,525
2021-05-16,581842,268
2021-05-17,582244,402
2021-05-18,583024,780
2021-05-19,583678,654
2021-05-20,584363,685
2021-05-21,584963,600
2021-05-22,585451,488
2021-05-23,585658,207
2021-05-24,586095,437
2021-05-25,586733,638
2021-05-26,587719,986
2021-05-27,589069,1350
2021-05-28,589604,535
2021-05-29,589931,327
2021-05-30,590079,148
2021-05-31,590261,182
2021-06-01,590904,643
2021-06-02,591469,565
2021-06-03,592098,629
2021-06-04,592614,516
2021-06-05,593200,586
2021-06-06,593369,169
2021-06-07,593676,307
2021-06-08,593983,307
2021-06-09,594458,475
2021-06-10,594860,402
2021-06-11,595386,526
2021-06-12,595655,269
2021-06-13,595767,112
2021-06-14,595953,186
2021-06-15,596276,323
2021-06-16,596660,384
2021-06-17,596959,299
2021-06-18,597558,599
2021-06-19,597728,170
2021-06-20,597808,80
2021-06-21,598069,261
2021-06-22,598410,341
2021-06-23,598796,386
2021-06-24,599139,343
2021-06-25,599667,528
2021-06-26,599827,160
2021-06-27,599903,76
2021-06-28,600062,159
2021-06-29,600390,328
2021-06-30,600689,299
2021-07-01,600972,283
2021-07-02,601409,437
2021-07-03,601494,85
2021-07-04,601534,40
2021-07-05,601654,120
2021-07-06,601958,304
2021-07-07,602285,327
2021-07-08,602536,251
2021-07-09,602999,463
2021-07-10,603077,78
2021-07-11,603196,119
2021-07-12,603428,232
2021-07-13,603783,355
2021-07-14,604107,324
2021-07-15,604462,355
2021-07-16,604915,453
2021-07-17,604987,72
2021-07-18,605083,96
2021-07-19,605281,198
2021-07-20,605568,287
2021-07-21,605932,364
2021-07-22,606220,288
2021-07-23,606772,552
2021-07-24,606908,136
2021-07-25,607012,104
2021-07-26,607262,250
2021-07-27,607719,457
2021-07-28,608099,380
2021-07-29,608418,319
2021-07-30,609303,885
2021-07-31,609480,177
2021-08-01,609715,235
2021-08-02,610087,372
2021-08-03,610673,586
2021-08-04,611222,549
2021-08-05,611749,527
2021-08-06,612880,1131
2021-08-07,613151,271
2021-08-08,613291,140
2021-08-09,613812,521
2021-08-10,614634,822
2021-08-11,615443,809
2021-08-12,616474,1031
2021-08-13,617536,1062
2021-08-14,617815,279
2021-08-15,618029,214
2021-08-16,619076,1047
2021-08-17,620103,1027
2021-08-18,621307,1204
2021-08-19,623088,1781
2021-08-20,624543,1455
2021-08-21,625120,577
2021-08-22,625343,223
2021-08-23,626678,1335
2021-08-24,628114,1436
2021-08-25,629663,1549
2021-08-26,631881,2218
2021-08-27,633630,1749
2021-08-28,634284,654
2021-08-29,634608,324
2021-08-30,636323,1715
2021-08-31,637765,1442
2021-09-01,639812,2047
2021-09-02,642866,3054
2021-09-03,644805,1939
2021-09-04,645465,660
2021-09-05,645892,427
2021-09-06,646513,621
2021-09-07,648608,2095
2021-09-08,650906,2298
2021-09-09,654131,3225
2021-09-10,656586,2455
2021-09-11,657428,842
2021-09-12,657812,384
2021-09-13,659965,2153
2021-09-14,661887,1922
2021-09-15,664619,2732
2021-09-16,668107,3488
2021-09-17,670569,2462
2021-09-18,671572,1003
2021-09-19,671980,408
2021-09-20,674288,2308
2021-09-21,676730,2442
2021-09-22,679419,2689
2021-09-23,682726,3307
2021-09-24,685212,2486
2021-09-25,686064,852
2021-09-26,686657,593
2021-09-27,688910,2253
2021-09-28,691427,2517
2021-09-29,694065,2638
2021-09-30,696889,2824
2021-10-01,699021,2132
2021-10-02,699899,878
2021-10-03,700438,539
2021-10-04,702370,1932
2021-10-05,704254,1884
2021-10-06,706915,2661
2021-10-07,709384,2469
2021-10-08,711190,1806
2021-10-09,711644,454
2021-10-10,712134,490
2021-10-11,713318,1184
2021-10-12,715599,2281
2021-10-13,718784,3185
2021-10-14,720975,2191
2021-10-15,722797,1822
2021-10-16,723396,599
2021-10-17,723875,479
2021-10-18,725642,1767
2021-10-19,727570,1928
2021-10-20,730761,3191
2021-10-21,732782,2021
2021-10-22,734656,1874
2021-10-23,735231,575
2021-10-24,735514,283
2021-10-25,736970,1456
2021-10-26,738578,1608
2021-10-27,740630,2052
2021-10-28,742490,1860
2021-10-29,744224,1734
2021-10-30,744626,402
2021-10-31,744886,260
2021-11-01,746135,1249
2021-11-02,747442,1307
2021-11-03,749426,1984
2021-11-04,750627,1201
2021-11-05,752745,2118
2021-11-06,753255,510
2021-11-07,753490,235
2021-11-08,754690,1200
2021-11-09,756138,1448
2021-11-10,757827,1689
2021-11-11,758730,903
2021-11-12,761178,2448
2021-11-13,761779,601
2021-11-14,762010,231
2021-11-15,763287,1277
2021-11-16,764606,1319
2021-11-17,766265,1659
2021-11-18,767600,1335
2021-11-19,769361,1761
2021-11-20,769836,475
2021-11-21,770086,250
2021-11-22,771332,1246
2021-11-23,772683,1351
2021-11-24,774382,1699
2021-11-25,774870,488
2021-11-26,775259,389
2021-11-27,775597,338
2021-11-28,775875,278
2021-11-29,777789,1914
2021-11-30,779427,1638
2021-12-01,781422,1995
2021-12-02,785362,3940
2021-12-03,786973,1611
2021-12-04,787674,701
2021-12-05,788088,414
2021-12-06,789514,1426
2021-12-07,791026,1512
2021-12-08,792849,1823
2021-12-09,794397,1548
2021-12-10,796150,1753
2021-12-11,796774,624
2021-12-12,797146,372
2021-12-13,798535,1389
2021-12-14,800046,1511
2021-12-15,802278,2232
2021-12-16,803547,1269
2021-12-17,805411,1864
2021-12-18,806092,681
2021-12-19,806412,320
2021-12-20,807959,1547
2021-12-21,809873,1914
2021-12-22,814058,4185
2021-12-23,815463,1405
2021-12-24,816153,690
2021-12-25,816396,243
2021-12-26,816768,372
2021-12-27,818614,1846
2021-12-28,820895,2281
2021-12-29,823250,2355
2021-12-30,824737,1487
2021-12-31,825468,731
2022-01-01,825870,402
2022-01-02,826329,459
2022-01-03,828234,1905
2022-01-04,830557,2323
2022-01-05,832782,2225
2022-01-06,834879,2097
2022-01-07,837319,2440
2022-01-08,838192,873
2022-01-09,838813,621
2022-01-10,840861,2048
2022-01-11,843380,2519
2022-01-12,846231,2851
2022-01-13,848792,2561
2022-01-14,851588,2796
2022-01-15,852597,1009
2022-01-16,853363,766
2022-01-17,854402,1039
2022-01-18,857136,2734
2022-01-19,860621,3485
2022-01-20,863551,2930
2022-01-21,866932,3381
2022-01-22,867964,1032
2022-01-23,868706,742
2022-01-24,870881,2175
2022-01-25,874038,3157
2022-01-26,877900,3862
2022-01-27,880520,2620
2022-01-28,884607,4087
2022-01-29,885821,1214
2022-01-30,886310,489
2022-01-31,888905,2595
2022-02-01,892252,3347
2022-02-02,895867,3615
2022-02-03,898353,2486
2022-02-04,902482,4129
2022-02-05,903411,929
2022-02-06,903881,470
2022-02-07,906747,2866
2022-02-08,909748,3001
2022-02-09,913083,3335
2022-02-10,916336,3253
2022-02-11,919044,2708
2022-02-12,919870,826
2022-02-13,920454,584
2022-02-14,923630,3176
2022-02-15,926228,2598
2022-02-16,929413,3185
2022-02-17,932360,2947
2022-02-18,934862,2502
2022-02-19,935550,688
2022-02-20,935998,448
2022-02-21,936900,902
2022-02-22,939072,2172
2022-02-23,942164,3092
2022-02-24,945120,2956
2022-02-25,947201,2081
2022-02-26,947965,764
2022-02-27,948192,227
2022-02-28,950322,2130
2022-03-01,952086,1764
2022-03-02,954185,2099
2022-03-03,955892,1707
2022-03-04,957631,1739
2022-03-05,957941,310
2022-03-06,958156,215
2022-03-07,959834,1678
2022-03-08,961251,1417
2022-03-09,963275,2024
2022-03-10,965037,1762
2022-03-11,966698,1661
2022-03-12,966978,280
2022-03-13,967174,196
2022-03-14,968469,1295
2022-03-15,969549,1080
2022-03-16,971397,1848
2022-03-17,972891,1494
2022-03-18,973940,1049
2022-03-19,974226,286
2022-03-20,974314,88
2022-03-21,975365,1051
2022-03-22,976139,774
2022-03-23,977779,1640
2022-03-24,978646,867
2022-03-25,979491,845
2022-03-26,979641,150
2022-03-27,979702,61
2022-03-28,980722,1020
2022-03-29,981483,761
2022-03-30,982627,1144
2022-03-31,983142,515
2022-04-01,983972,830
2022-04-02,984131,159
2022-04-03,984191,60
2022-04-04,984776,585
2022-04-05,985286,510
2022-04-06,986388,1102
2022-04-07,987245,857
2022-04-08,987861,616
2022-04-09,988030,169
2022-04-10,988060,30
2022-04-11,988386,326
2022-04-12,988986,600
2022-04-13,990117,1131
2022-04-14,990656,539
2022-04-15,991096,440
2022-04-16,991150,54
2022-04-17,991162,12
2022-04-18,991401,239
2022-04-19,991855,454
2022-04-20,992727,872
2022-04-21,993140,413
2022-04-22,993650,510
2022-04-23,993718,68
2022-04-24,993750,32
2022-04-25,994013,263
2022-04-26,994335,322
2022-04-27,995120,785
2022-04-28,995548,428
2022-04-29,995954,406
2022-04-30,996086,132
2022-05-01,996109,23
2022-05-02,996404,295
2022-05-03,996857,453
2022-05-04,998794,1937
2022-05-05,999094,300
2022-05-06,999452,358
2022-05-07,999663,211
2022-05-08,999693,30
2022-05-09,999943,250
2022-05-10,1000269,326
2022-05-11,1000942,673
2022-05-12,1001255,313
2022-05-13,1001456,201
2022-05-14,1001522,66
2022-05-15,1001559,37
2022-05-16,1001802,243
2022-05-17,1002197,395
2022-05-18,1003147,950
2022-05-19,1003504,357
2022-05-20,1003903,399
2022-05-21,1003998,95
2022-05-22,1004042,44
2022-05-23,1004289,247
2022-05-24,1004633,344
2022-05-25,1005711,1078
2022-05-26,1006078,367
2022-05-27,1006602,524
2022-05-28,1006649,47
2022-05-29,1006668,19
2022-05-30,1006710,42
2022-05-31,1007077,367
2022-06-01,1007741,664
2022-06-02,1008082,341
2022-06-03,1008454,372
2022-06-04,1008638,184
2022-06-05,1008672,34
2022-06-06,1008951,279
2022-06-07,1009432,481
2022-06-08,1010606,1174
2022-06-09,1010927,321
2022-06-10,1011287,360
2022-06-11,1011404,117
2022-06-12,1011434,30
2022-06-13,1011705,271
2022-06-14,1012089,384
2022-06-15,1012785,696
2022-06-16,1013234,449
2022-06-17,1013551,317
2022-06-18,1013594,43
2022-06-19,1013648,54
2022-06-20,1013720,72
2022-06-21,1014196,476
2022-06-22,1015038,842
2022-06-23,1015431,393
2022-06-24,1015863,432
2022-06-25,1016028,165
2022-06-26,1016050,22
2022-06-27,1016347,297
2022-06-28,1016924,577
2022-06-29,1017630,706
2022-06-30,1017377,0
2022-07-01,1017872,495
2022-07-02,1017929,57
2022-07-03,1017937,8
2022-07-04,1018017,80
2022-07-05,1018479,462
2022-07-06,1019225,746
2022-07-07,1020315,1090
2022-07-08,1020798,483
2022-07-09,1020897,99
2022-07-10,1020929,32
2022-07-11,1021386,457
2022-07-12,1021965,579
2022-07-13,1022921,956
2022-07-14,1023316,395
2022-07-15,1023808,492
2022-07-16,1023880,72
2022-07-17,1023934,54
2022-07-18,1024368,434
2022-07-19,1025002,634
2022-07-20,1025888,886
2022-07-21,1026400,512
2022-07-22,1026948,548
2022-07-23,1027050,102
2022-07-24,1027082,32
2022-07-25,1027505,423
2022-07-26,1028057,552
2022-07-27,1028991,934
2022-07-28,1029420,429
2022-07-29,1030024,604
2022-07-30,1030075,51
2022-07-31,1030088,13
2022-08-01,1030654,566
2022-08-02,1031173,519
2022-08-03,1032217,1044
2022-08-04,1032881,664
2022-08-05,1033568,687
2022-08-06,1033641,73
2022-08-07,1033673,32
2022-08-08,1034167,494
2022-08-09,1034816,649
2022-08-10,1035729,913
2022-08-11,1036318,589
2022-08-12,1036933,615
2022-08-13,1037019,86
2022-08-14,1037036,17
2022-08-15,1037498,462
2022-08-16,1038018,520
2022-08-17,1039085,1067
2022-08-18,1039734,649
2022-08-19,1040298,564
2022-08-20,1040373,75
2022-08-21,1040399,26
2022-08-22,1040905,506
2022-08-23,1041521,616
2022-08-24,1042451,930
2022-08-25,1043101,650
2022-08-26,1043771,670
2022-08-27,1043843,72
2022-08-28,1043863,20
2022-08-29,1044338,475
2022-08-30,1044749,411
2022-08-31,1046240,1491
2022-09-01,1046956,716
2022-09-02,1047407,451
2022-09-03,1047475,68
2022-09-04,1047489,14
2022-09-05,1047578,89
2022-09-06,1048183,605
2022-09-07,1048962,779
2022-09-08,1049673,711
2022-09-09,1050179,506
2022-09-10,1050261,82
2022-09-11,1050282,21
2022-09-12,1050733,451
2022-09-13,1051261,528
2022-09-14,1052202,941
2022-09-15,1052896,694
2022-09-16,1053302,406
2022-09-17,1053361,59
2022-09-18,1053385,24
2022-09-19,1053774,389
2022-09-20,1054223,449
2022-09-21,1055189,966
2022-09-22,1055879,690
2022-09-23,1056276,397
2022-09-24,1056358,82
2022-09-25,1056376,18
2022-09-26,1056741,365
2022-09-27,1057193,452
2022-09-28,1058461,1268
2022-09-29,1059187,726
2022-09-30,1059507,320
2022-10-01,1059542,35
2022-10-02,1059560,18
2022-10-03,1059851,291
2022-10-04,1060356,505
2022-10-05,1061382,1026
2022-10-06,1062009,627
2022-10-07,1062409,400
2022-10-08,1062461,52
2022-10-09,1062473,12
2022-10-10,1062608,135
2022-10-11,1063218,610
2022-10-12,1063988,770
2022-10-13,1064579,591
2022-10-14,1064910,331
2022-10-15,1064952,42
2022-10-16,1064963,11
2022-10-17,1065300,337
2022-10-18,1065737,437
2022-10-19,1066447,710
2022-10-20,1067052,605
2022-10-21,1067633,581
2022-10-22,1067656,23
2022-10-23,1067668,12
2022-10-24,1067877,209
2022-10-25,1068312,435
2022-10-26,1069412,1100
2022-10-27,1070006,594
2022-10-28,1070198,192
2022-10-29,1070235,37
2022-10-30,1070244,9
2022-10-31,1070376,132
2022-11-01,1070821,445
2022-11-02,1071544,723
2022-11-03,1072189,645
2022-11-04,1072544,355
2022-11-05,1072577,33
2022-11-06,1072597,20
2022-11-07,1072731,134
2022-11-08,1072952,221
2022-11-09,1073860,908
2022-11-10,1074452,592
2022-11-11,1074508,56
2022-11-12,1074513,5
2022-11-13,1074526,13
2022-11-14,1074780,254
2022-11-15,1075182,402
2022-11-16,1075982,800
2022-11-17,1076510,528
2022-11-18,1077020,510
2022-11-19,1077043,23
2022-11-20,1077063,20
2022-11-21,1077274,211
2022-11-22,1077840,566
2022-11-23,1078826,986
2022-11-24,1079015,189
2022-11-25,1079169,154
2022-11-26,1079183,14
2022-11-27,1079196,13
2022-11-28,1079494,298
2022-11-29,1079906,412
2022-11-30,1080466,560
2022-12-01,1081153,687
2022-12-02,1081465,312
2022-12-03,1081494,29
2022-12-04,1081505,11
2022-12-05,1081728,223
2022-12-06,1082333,605
2022-12-07,1083338,1005
2022-12-08,1084230,892
2022-12-09,1084429,199
2022-12-10,1084462,33
2022-12-11,1084473,11
2022-12-12,1084701,228
2022-12-13,1085296,595
2022-12-14,1086179,883
2022-12-15,1087000,821
2022-12-16,1087425,425
2022-12-17,1087451,26
2022-12-18,1087473,22
2022-12-19,1087755,282
2022-12-20,1088341,586
2022-12-21,1089383,1042
2022-12-22,1089979,596
2022-12-23,1090186,207
2022-12-24,1090208,22
2022-12-25,1090223,15
2022-12-26,1090252,29
2022-12-27,1090608,356
2022-12-28,1091598,990
2022-12-29,1092522,924
2022-12-30,1092738,216
2022-12-31,1092764,26
2023-01-01,1092779,15
2023-01-02,1092801,22
2023-01-03,1093208,407
2023-01-04,1094493,1285
2023-01-05,1095335,842
2023-01-06,1095789,454
2023-01-07,1095815,26
2023-01-08,1095832,17
2023-01-09,1096132,300
2023-01-10,1097024,892
2023-01-11,1098854,1830
2023-01-12,1099574,720
2023-01-13,1099954,380
2023-01-14,1100006,52
2023-01-15,1100023,17
2023-01-16,1100068,45
2023-01-17,1100812,744
2023-01-18,1102393,1581
2023-01-19,1103712,1319
2023-01-20,1104154,442
2023-01-21,1104178,24
2023-01-22,1104191,13
2023-01-23,1104505,314
2023-01-24,1105308,803
2023-01-25,1106676,1368
2023-01-26,1107559,883
2023-01-27,1107661,102
2023-01-28,1107676,15
2023-01-29,1107690,14
2023-01-30,1107918,228
2023-01-31,1108688,770
2023-02-01,1109996,1308
2023-02-02,1111159,1163
2023-02-03,1111679,520
2023-02-04,1111696,17
2023-02-05,1111698,2
2023-02-06,1111890,192
